Feature ID	Taxon	Confidence
Zotu5895	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_epigaea	0.96850908300579
Zotu5896	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8654154462214573
Zotu5897	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7314993473431876
Zotu5898	k__Fungi;p__Basidiomycota;c__GS27;o__GS27;f__unidentified;g__unidentified;s__unidentified	0.9999996194055014
Zotu5899	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7581148146849437
Zotu5900	k__Fungi	0.9999999999999882
Zotu5901	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pluteaceae;g__Volvariella	0.7334824129372939
Zotu5902	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_patagonicus	0.9764662355006518
Zotu5903	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Plenodomus;s__Plenodomus_biglobosus	0.9997531061370503
Zotu5904	k__Fungi	0.9999999999999973
Zotu5905	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__unidentified	0.7746898935297628
Zotu5906	k__Fungi	0.9999999999999915
Zotu5907	k__Fungi	0.9999999999999956
Zotu5908	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8451061975294681
Zotu5909	k__Fungi	0.9999999999999916
Zotu5910	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus;s__Coprinellus_disseminatus	0.999996907926436
Zotu5911	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.859754501704707
Zotu5912	k__Fungi	0.9999999999999974
Zotu5913	k__Fungi	0.9999999999999984
Zotu5914	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glomus_versiforme	0.9971584969819807
Zotu5915	k__Fungi	0.9999999999999895
Zotu5916	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__unidentified;g__unidentified;s__unidentified	0.9429155042216235
Zotu5917	k__Fungi	1.0000000000000044
Zotu5918	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__unidentified	0.924208835169868
Zotu5919	k__Fungi	0.9999999999999885
Zotu5920	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8778251002538208
Zotu5921	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7474886563316087
Zotu5922	k__Fungi	0.9999999999999978
Zotu5923	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8459352307802415
Zotu5924	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__unidentified	0.8700389763512536
Zotu5925	k__Fungi	1.0000000000000073
Zotu5926	k__Fungi	0.9999999999999889
Zotu5927	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__Claroideoglomus_claroideum	0.9824487801991144
Zotu5928	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_epigaea	0.9245930672422364
Zotu5929	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.931864875790803
Zotu5930	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9031029342967173
Zotu5931	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9633106733593731
Zotu5932	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.700738172167168
